Commune A;Commune B;Distance
BESANCON;VILLENEUVE-D'ASCQ;42
BESANCON;LILLE;44
BESANCON;TOURCOING;44
BESANCON;LE MANS;96
BESANCON;NIORT;99
BESANCON;POITIERS;97
VALENCE;NIMES;52
VALENCE;BORDEAUX;90
VALENCE;PESSAC;85
VALENCE;MERIGNAC;83
VALENCE;MONTPELLIER;98
VALENCE;RENNES;8
VALENCE;GRENOBLE;91
VALENCE;SAINT-ETIENNE;53
VALENCE;NANTES;22
VALENCE;SAINT-NAZAIRE;56
VALENCE;CHOLET;88
VALENCE;REIMS;69
VALENCE;VENISSIEUX;14
VALENCE;LYON;15
VALENCE;VILLEURBANNE;16
VALENCE;AVIGNON;17
VALENCE;LA ROCHE-SUR-YON;27
VALENCE;CAYENNE;44
VALENCE;SAINT-ANDRE;57
VALENCE;SAINT-PAUL;54
VALENCE;TAMPON;88
EVREUX;QUIMPER;99
EVREUX;BREST;69
EVREUX;TOULOUSE;38
EVREUX;ORLEANS;70
EVREUX;DUNKERQUE;77
EVREUX;CALAIS;45
EVREUX;STRASBOURG;36
EVREUX;COLMAR;44
EVREUX;MULHOUSE;61
EVREUX;ROUEN;21
EVREUX;MONTAUBAN;45
EVREUX;FREJUS;91
EVREUX;LIMOGES;82
EVREUX;FORT-DE-FRANCE;10
EVREUX;SAINT-DENIS;82
EVREUX;MAMOUDZOU;41
QUIMPER;BREST;45
QUIMPER;TOULOUSE;64
QUIMPER;ORLEANS;31
QUIMPER;LORIENT;84
QUIMPER;BEAUVAIS;80
QUIMPER;CALAIS;96
QUIMPER;STRASBOURG;77
QUIMPER;PARIS;62
QUIMPER;ROUEN;90
QUIMPER;CHELLES;82
QUIMPER;SARTROUVILLE;59
QUIMPER;VERSAILLES;48
QUIMPER;MONTAUBAN;54
QUIMPER;LIMOGES;55
QUIMPER;EVRY;55
QUIMPER;NEUILLY-SUR-SEINE;59
QUIMPER;CLAMART;53
QUIMPER;ISSY-LES-MOULINEAUX;54
QUIMPER;RUEIL-MALMAISON;55
QUIMPER;ANTONY;52
QUIMPER;LEVALLOIS-PERRET;61
QUIMPER;BOULOGNE-BILLANCOURT;55
QUIMPER;ASNIERES-SUR-SEINE;61
QUIMPER;COLOMBES;60
QUIMPER;COURBEVOIE;59
QUIMPER;CLICHY;62
